PET,BREED,AGE,GENDER,,LOCATION,EXPENSES
dog,newfoundland dog,3,f,,dry,13000
dog,newfoundland dog,6,m,,mild,13000
dog,newfoundland dog,8,f,,continental,13000
dog,newfoundland dog,10,m,,polar,13000
dog,pembroke welsh corgi,1,f,,tropical,6000
dog,pembroke welsh corgi,4,m,,dry,6000
dog,pembroke welsh corgi,8,f,,mild,6000
dog,pembroke welsh corgi,12,m,,continental,6000
dog,pembroke welsh corgi,15,f,,polar,6000
dog,boston terrier,1,m,,tropical,5000
dog,boston terrier,4,f,,dry,5000
dog,boston terrier,8,m,,mild,5000
dog,boston terrier,12,f,,continental,5000
dog,boston terrier,15,m,,polar,5000
dog,black russian terrier,1,f,,tropical,7000
dog,black russian terrier,3,m,,dry,7000
dog,black russian terrier,6,f,,mild,7000
dog,black russian terrier,9,m,,continental,7000
dog,black russian terrier,11,f,,polar,7000
dog,havanese,1,m,,tropical,4000
dog,havanese,4,f,,dry,4000
dog,havanese,8,m,,mild,4000
dog,havanese,12,f,,continental,4000
dog,havanese,16,m,,polar,4000
dog,maltipoo,1,f,,tropical,6000
dog,maltipoo,4,m,,dry,6000
dog,maltipoo,8,f,,mild,6000
dog,maltipoo,12,m,,continental,6000
dog,maltipoo,15,f,,polar,6000
dog,great dane,1,m,,tropical,9000
dog,great dane,3,f,,dry,9000
dog,great dane,6,m,,mild,9000
dog,great dane,8,f,,continental,9000
dog,great dane,10,m,,polar,9000
dog,rottweiler,1,f,,tropical,9000
dog,rottweiler,3,m,,dry,9000
dog,rottweiler,6,f,,mild,9000
dog,rottweiler,8,m,,continental,9000
dog,rottweiler,10,f,,polar,9000
cat,siamese cat,1,m,,tropical,5000
cat,siamese cat,5,f,,dry,5000
cat,siamese cat,10,m,,mild,5000
cat,siamese cat,15,f,,continental,5000
cat,siamese cat,20,m,,polar,5000
cat,british shorthair,1,f,,tropical,5000
cat,british shorthair,5,m,,dry,5000
cat,british shorthair,10,f,,mild,5000
cat,british shorthair,15,m,,continental,5000
cat,british shorthair,20,f,,polar,5000
cat,maine coon,1,m,,tropical,5000
cat,maine coon,4,f,,dry,5000
cat,maine coon,8,m,,mild,5000
cat,maine coon,12,f,,continental,5000
cat,maine coon,15,m,,polar,5000
cat,persian cat,1,f,,tropical,4000
cat,persian cat,5,m,,dry,4000
cat,persian cat,10,f,,mild,4000
cat,persian cat,15,m,,continental,4000
cat,persian cat,20,f,,polar,4000
cat,ragdoll,1,m,,tropical,4000
cat,ragdoll,4,f,,dry,4000
cat,ragdoll,9,m,,mild,4000
cat,ragdoll,14,f,,continental,4000
cat,ragdoll,18,m,,polar,4000
cat,sphynx cat,1,f,,tropical,6000
cat,sphynx cat,3,m,,dry,6000
cat,sphynx cat,7,f,,mild,6000
cat,sphynx cat,11,m,,continental,6000
cat,sphynx cat,14,f,,polar,6000
cat,american shorthair,1,m,,tropical,6000
cat,american shorthair,5,f,,dry,6000
cat,american shorthair,10,m,,mild,6000
cat,american shorthair,15,f,,continental,6000
cat,american shorthair,20,m,,polar,6000
cat,abyssinian,1,f,,tropical,5000
cat,abyssinian,5,m,,dry,5000
cat,abyssinian,8,f,,mild,5000
cat,abyssinian,12,m,,continental,5000
cat,abyssinian,15,f,,polar,5000
cat,exotic shorthair,1,m,,tropical,5000
cat,exotic shorthair,3,f,,dry,5000
cat,exotic shorthair,6,m,,mild,5000
cat,exotic shorthair,9,f,,continental,5000
cat,exotic shorthair,11,m,,polar,5000
cat,scottish fold,1,f,,tropical,6000
cat,scottish fold,5,m,,dry,6000
cat,scottish fold,8,f,,mild,6000
cat,scottish fold,12,m,,continental,6000
cat,scottish fold,15,f,,polar,6000
cat,burmese cat,1,m,,tropical,6000
cat,burmese cat,7,f,,dry,6000
cat,burmese cat,14,m,,mild,6000
cat,burmese cat,20,f,,continental,6000
cat,burmese cat,25,m,,polar,6000
cat,birman,1,f,,tropical,6000
cat,birman,4,m,,dry,6000
cat,birman,8,f,,mild,6000
cat,birman,12,m,,continental,6000
cat,birman,16,f,,polar,6000
cat,bombay cat,1,m,,tropical,5000
cat,bombay cat,5,f,,dry,5000
cat,bombay cat,10,m,,mild,5000
cat,bombay cat,15,f,,continental,5000
cat,bombay cat,20,m,,polar,5000
cat,siberian cat,1,f,,tropical,6000
cat,siberian cat,3,m,,dry,6000
cat,siberian cat,6,f,,mild,6000
cat,siberian cat,8,m,,continental,6000
cat,siberian cat,10,f,,polar,6000
cat,norwegian forest cat,1,m,,tropical,6000
cat,norwegian forest cat,4,f,,dry,6000
cat,norwegian forest cat,8,m,,mild,6000
cat,norwegian forest cat,12,f,,continental,6000
cat,norwegian forest cat,16,m,,polar,6000
cat,munchkin cat,1,f,,tropical,4000
cat,munchkin cat,3,m,,dry,4000
cat,munchkin cat,9,f,,mild,4000
cat,munchkin cat,12,m,,continental,4000
cat,munchkin cat,15,f,,polar,4000
cat,devon rex,1,m,,tropical,8000
cat,devon rex,3,f,,dry,8000
cat,devon rex,6,m,,mild,8000
cat,devon rex,9,f,,continental,8000
cat,devon rex,13,m,,polar,8000
cat,russian blue,1,f,,tropical,4000
cat,russian blue,5,m,,dry,4000
cat,russian blue,10,f,,mild,4000
cat,russian blue,15,m,,continental,4000
cat,russian blue,20,f,,polar,4000
cat,american curl,1,m,,tropical,4000
cat,american curl,3,f,,dry,4000
cat,american curl,6,m,,mild,4000
cat,american curl,9,f,,continental,4000
cat,american curl,13,m,,polar,4000
cat,american bobtail,1,f,,tropical,5000
cat,american bobtail,4,m,,dry,5000
cat,american bobtail,8,f,,mild,5000
cat,american bobtail,12,m,,continental,5000
cat,american bobtail,18,f,,polar,5000
cat,oriental shorthair,1,m,,tropical,6000
cat,oriental shorthair,3,f,,dry,6000
cat,oriental shorthair,6,m,,mild,6000
cat,oriental shorthair,9,f,,continental,6000
cat,oriental shorthair,12,m,,polar,6000
cat,balinese cat,1,f,,tropical,7000
cat,balinese cat,5,m,,dry,7000
cat,balinese cat,10,f,,mild,7000
cat,balinese cat,15,m,,continental,7000
cat,balinese cat,22,f,,polar,7000
cat,charteaux,1,m,,tropical,8000
cat,charteaux,3,f,,dry,8000
cat,charteaux,5,m,,mild,8000
cat,charteaux,8,f,,continental,8000
cat,charteaux,13,m,,polar,8000
cat,turkish angora,1,f,,tropical,6000
cat,turkish angora,4,m,,dry,6000
cat,turkish angora,8,f,,mild,6000
cat,turkish angora,12,m,,continental,6000
cat,turkish angora,18,f,,polar,6000
cat,japanese bobtail,1,m,,tropical,4000
cat,japanese bobtail,3,f,,dry,4000
cat,japanese bobtail,5,m,,mild,4000
cat,japanese bobtail,8,f,,continental,4000
cat,japanese bobtail,13,m,,polar,4000
cat,manx cat,1,f,,tropical,5000
cat,manx cat,3,m,,dry,5000
cat,manx cat,5,f,,mild,5000
cat,manx cat,10,m,,continental,5000
cat,manx cat,14,f,,polar,5000
cat,ragamuffin,1,m,,tropical,5000
cat,ragamuffin,6,f,,dry,5000
cat,ragamuffin,10,m,,mild,5000
cat,ragamuffin,14,f,,continental,5000
cat,ragamuffin,18,m,,polar,5000
cat,somali cat,1,f,,tropical,6000
cat,somali cat,3,m,,dry,6000
cat,somali cat,6,f,,mild,6000
cat,somali cat,9,m,,continental,6000
cat,somali cat,15,f,,polar,6000
cat,havana brown,1,m,,tropical,7000
cat,havana brown,3,f,,dry,7000
cat,havana brown,5,m,,mild,7000
cat,havana brown,8,f,,continental,7000
cat,havana brown,13,m,,polar,7000
cat,burmila,1,f,,tropical,8000
cat,burmila,3,m,,dry,8000
cat,burmila,5,f,,mild,8000
cat,burmila,8,m,,continental,8000
cat,burmila,12,f,,polar,8000
cat,colorprint shorthair,1,m,,tropical,7000
cat,colorprint shorthair,3,f,,dry,7000
cat,colorprint shorthair,5,m,,mild,7000
cat,colorprint shorthair,8,f,,continental,7000
cat,colorprint shorthair,12,m,,polar,7000
cat,australian mist,1,f,,tropical,6000
cat,australian mist,3,m,,dry,6000
cat,australian mist,6,f,,mild,6000
cat,australian mist,9,m,,continental,6000
cat,australian mist,15,f,,polar,6000
